Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1, C14, C24, C3, C9",0402,5,4.7uF,
"C10, C13, C15, C2, C23, C25, C26, C27, C28",0402,9,100nF,
C11,0603,1,10uF,
"C12, C22, C5",0402,3,1uF,
R1,0402,1,220R,
R14,0402,1,2.8K,
"R15, R19, R21, R6",0402,4,1K,
"R16, R20, R5",0402,3,3.6K,
R17,0402,1,22K,
R18,0402,1,33K,
"R2, R3",0402,2,100K,
"R4, R7",0402,2,2K,
U1,VSSOP-8_3x3mm_P0.65mm,1,INA333xxDGK,
U10,Pad 1,1,Pad,
U11,SOT-23-5,1,TPS60402DBV,
"U12, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP602,
U13,Pad 4,1,Pad 4,
U7,Pad Battery,1,Pad_Battery,
