Designator,Mid X,Mid Y,Rotation,Layer
_2,146.35,-91.05,0.0,top
,146.37,-81.57,0.0,top
C1,141.82,-86.88,270.0,top
C10,150.48,-84.705,0.0,top
C11,147.7175,-88.26,0.0,top
C12,139.065,-81.92,90.0,top
C13,141.28,-98.88,90.0,top
C14,142.2,-98.88,90.0,top
C15,151.455,-89.48,90.0,top
C2,142.74,-86.88,270.0,top
C22,142.24,-83.79,180.0,top
C23,141.77,-92.85,180.0,top
C24,141.77,-93.77,180.0,top
C25,139.02,-85.98,270.0,top
C26,140.88,-85.98,90.0,top
C27,152.42,-91.38,90.0,top
C28,151.08,-94.68,0.0,top
C3,150.54,-89.48,90.0,top
C5,144.075,-80.97,90.0,top
C9,150.4775,-83.79,0.0,top
R1,144.7775,-88.26,180.0,top
R14,139.95,-86.0,270.0,top
R15,142.21,-90.47,270.0,top
R16,141.27,-90.47,90.0,top
R17,151.49,-91.36,270.0,top
R18,151.06,-93.75,180.0,top
R19,150.55,-91.36,270.0,top
R2,141.74,-96.04,180.0,top
R20,151.06,-92.81,0.0,top
R21,150.54,-99.09,90.0,top
R3,141.74,-95.1,0.0,top
R4,150.54,-96.8,270.0,top
R5,142.27,-85.5,180.0,top
R6,151.48,-96.8,90.0,top
R7,151.48,-99.09,270.0,top
U1,146.38,-85.68,0.0,top
U10,146.52,-101.19,0.0,top
U11,141.5725,-81.45,0.0,top
U12,146.38,-91.865,270.0,top
U13,146.34,-81.245,0.0,top
U2,146.37,-97.945,90.0,top
U7,141.01,-102.48,0.0,top
