Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT_16060A1T_WAL,1,RFECA3216060A1T,
BZ1,Buzzer_Murata_PKMCS0909E,1,Buzzer,
"C1, C22, C24, C26, C28",0402,5,1uF,
"C10, C12, C14, C16, C19, C2, C29, C31, C36, C38, C4, C40, C42, C6, C8",0402,15,4.7uF,
"C11, C13, C15, C17, C18, C3, C30, C32, C33, C34, C37, C39, C41, C43, C5, C7, C9",0402,17,100nF,
"C20, C46",0402,2,10nF,
"C21, C23, C25, C27",0603,4,22uF,
C44,0402,1,1nF,
"C45, C48",0402,2,0.33uF,
C47,0402,1,1.5nF,
"C49, C50",0402,2,0.1uF,
D2,LED_WS2812B2020,1,WS2812B2020,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,CUI_SJ2-3593D-SMT-TR,1,SJ2-3593D-SMT-TR,
J3,JST_SM05B-SRSS-TB_LF__SN_,1,SM05B-SRSS-TB_LF__SN_,
"Q1, Q2",SOT-23,2,SS8050,
Q3,SOT-23,1,MMBT2222A,
"R1, R16, R3, R6",0402,4,0R,
"R10, R11, R12, R13, R14, R15, R2, R22, R23, R24, R45",0402,11,10K,
R17,0402,1,3K,
"R18, R19, R20",0402,3,200K,
R21,0402,1,300K,
"R25, R43",0402,2,0,
"R26, R44",0402,2,DNP,
"R27, R30, R34, R35, R37",0402,5,1M,
"R28, R29",0402,2,1K,
"R31, R32",0402,2,180K,
R33,0402,1,360K,
R36,0402,1,100K,
"R38, R39, R41, R42",0402,4,10M,
"R4, R5",0402,2,5.1K,
R40,0402,1,1.4M,
R7,0402,1,4.7K,
R8,0402,1,24K,
R9,0402,1,47K,
S1,SW_TL3342F160QG,1,TL3342F160QG,
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,10,TestPoint_Small,
U1,XCVR_ESP32-PICO-V3-02,1,ESP32-PICO-V3-02,
"U10, U8, U9",Pad 4,3,Pad 4,
U13,LFCSP_20,1,AD8232,
"U15, U5",SOT-23-5,2,XC6220B331MR,
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSL,
U4,TSSOP-14_4.4x5mm_P0.65mm,1,MCP3204,
U6,SOP127P600X175-9N,1,TP4056,
U7,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,
